filename	read_id	run_id	batch_id	channel	mux	start_time	duration	num_events	passes_filtering	template_start	num_events_template	template_duration	sequence_length_template	mean_qscore_template	strand_score_template	median_template	mad_template	scaling_median_template	scaling_mad_template
FAR09416_pass_b2a717df_326.fast5	b1ea574e-3389-485a-a8e3-8850e1c33a5e	b2a717df255266c1428d6ef9ef7f36db102942b3	521	92	3	40035.815750	1.324250	1059	TRUE	40035.849500	1032	1.290500	574	9.928870	3.057073	66.646324	7.329391	66.646324	7.329391
FAR09416_pass_b2a717df_210.fast5	b4a5d56f-31dd-4dad-b4d9-1f49a5f77645	b2a717df255266c1428d6ef9ef7f36db102942b3	523	327	2	24960.157500	25.020750	20016	TRUE	24960.197500	19984	24.980750	10072	15.229108	3.178408	71.589401	9.204351	71.589401	9.204351
FAR09416_pass_b2a717df_1045.fast5	a6c62320-4e53-4c8b-90eb-e1078642ea03	b2a717df255266c1428d6ef9ef7f36db102942b3	533	329	4	158210.286000	2.685750	2148	TRUE	158210.314750	2125	2.657000	907	17.165747	3.020681	80.964203	9.715705	80.964203	9.715705
FAR09416_pass_b2a717df_508.fast5	6a756565-a323-4f3a-942f-9998aa199894	b2a717df255266c1428d6ef9ef7f36db102942b3	536	30	4	64437.858750	5.846000	4676	TRUE	64437.896250	4646	5.808500	2327	15.792292	3.144297	71.759850	8.863450	71.759850	8.863450
FAR09416_pass_b2a717df_934.fast5	848202f1-97c0-4813-b711-8e43e7c1fed6	b2a717df255266c1428d6ef9ef7f36db102942b3	553	491	3	133747.643500	0.778250	622	TRUE	133747.672250	599	0.749500	336	9.410407	3.056639	78.748344	9.033900	78.748344	9.033900
FAR09416_pass_b2a717df_1134.fast5	5718bdd1-1a89-46f5-9804-a824bf524272	b2a717df255266c1428d6ef9ef7f36db102942b3	558	310	2	185770.939250	2.719250	2175	TRUE	185770.964250	2155	2.694250	1050	14.699417	3.137775	72.953011	9.033900	72.953011	9.033900
FAR09416_pass_b2a717df_407.fast5	983a15d9-ff48-4cf7-922c-8f0b5a15a534	b2a717df255266c1428d6ef9ef7f36db102942b3	561	365	3	50659.161000	2.845000	2276	TRUE	50659.184750	2257	2.821250	1118	17.215136	3.194450	77.384735	9.545254	77.384735	9.545254
FAR09416_pass_b2a717df_564.fast5	b89f1e56-56e1-4212-a169-236a9185d0fb	b2a717df255266c1428d6ef9ef7f36db102942b3	566	494	4	72137.487000	3.129000	2503	TRUE	72137.499500	2493	3.116500	1167	13.179734	3.071147	79.259697	8.863450	79.259697	8.863450
FAR09416_pass_b2a717df_229.fast5	c39b8c5e-34d2-4595-ba94-423d02224f17	b2a717df255266c1428d6ef9ef7f36db102942b3	574	269	4	27325.468250	10.497000	8397	TRUE	27325.482000	8386	10.483250	1753	17.619680	2.532355	74.998421	8.863450	74.998421	8.863450
FAR09416_pass_b2a717df_817.fast5	65f37302-7b2f-4105-88fa-d4d08a9ace25	b2a717df255266c1428d6ef9ef7f36db102942b3	598	325	3	111281.315500	17.648500	14118	TRUE	111281.353000	14088	17.611000	8157	10.664021	3.212912	88.634499	10.738410	88.634499	10.738410
FAR09416_pass_b2a717df_384.fast5	ba5b1fac-58c4-4dbc-bb8b-38eeaebb6d45	b2a717df255266c1428d6ef9ef7f36db102942b3	609	462	2	47556.447000	7.561750	6049	TRUE	47556.470750	6030	7.538000	2821	13.386210	3.055840	72.271202	8.863450	72.271202	8.863450
FAR09416_pass_b2a717df_819.fast5	1ecef73e-0033-4208-9249-d6188830c515	b2a717df255266c1428d6ef9ef7f36db102942b3	617	130	1	111731.293750	8.391250	6713	TRUE	111731.338750	6677	8.346250	3234	17.070347	3.152731	80.793755	9.715705	80.793755	9.715705
FAR09416_pass_b2a717df_451.fast5	dcd1def1-1b27-4dbe-9fd9-2df2a44ff06b	b2a717df255266c1428d6ef9ef7f36db102942b3	621	289	2	56675.689750	1.538000	1230	TRUE	56675.718500	1207	1.509250	597	13.170481	3.024582	70.566696	8.692999	70.566696	8.692999
FAR09416_pass_b2a717df_862.fast5	2a3bb80c-3981-48de-9618-6a32357a6c9e	b2a717df255266c1428d6ef9ef7f36db102942b3	654	255	2	119491.068750	55.734500	44587	TRUE	119491.120000	44546	55.683250	22387	13.356006	3.123865	83.180069	9.715705	83.180069	9.715705
FAR09416_pass_b2a717df_700.fast5	6141d2d0-92db-44e4-a32a-b38fc2137769	b2a717df255266c1428d6ef9ef7f36db102942b3	672	95	2	92017.387000	0.893500	714	TRUE	92017.437000	674	0.843500	419	9.479477	3.137424	75.509773	8.352097	75.509773	8.352097
FAR09416_pass_b2a717df_1020.fast5	05257479-6557-4413-8430-a35fd9e3fc5e	b2a717df255266c1428d6ef9ef7f36db102942b3	673	166	2	152261.547250	14.258000	11406	TRUE	152261.574750	11384	14.230500	5441	11.830386	3.034474	84.032318	10.567959	84.032318	10.567959
FAR09416_pass_b2a717df_1008.fast5	65b6e99e-a7d7-43c6-b26d-ec83b6776178	b2a717df255266c1428d6ef9ef7f36db102942b3	680	113	3	149164.287500	15.922000	12737	TRUE	149164.310000	12719	15.899500	6722	12.425126	3.130548	88.123146	10.056606	88.123146	10.056606
FAR09416_pass_b2a717df_1008.fast5	98d6196b-76ce-4014-9471-277b391893fb	b2a717df255266c1428d6ef9ef7f36db102942b3	680	113	3	149147.248750	15.097250	12077	TRUE	149147.273750	12057	15.072250	5540	16.557184	3.099738	87.782242	10.738410	87.782242	10.738410
FAR09416_pass_b2a717df_256.fast5	23f211b5-0ee9-4753-8759-28aa71a1a760	b2a717df255266c1428d6ef9ef7f36db102942b3	687	25	4	30769.560250	42.241750	33793	TRUE	30769.560250	33793	42.241750	16394	13.942049	3.098458	74.316620	9.374803	74.316620	9.374803
